#{"t_start": 1611072861.059411, "env_id": "burger-v106"}
r,l,t
-0.156726,32,145.206764
-0.623316,32,145.380053
-0.106574,32,145.553104
-0.134955,32,145.72683
-0.162439,32,145.900053
-0.069213,32,146.072758
-0.08908,32,146.245901
-0.087732,32,146.418918
-0.121658,32,146.591862
-0.113401,32,146.764802
-0.146953,32,146.938123
-0.026883,32,147.111029
-0.142884,32,147.283998
-0.191856,32,147.456808
-0.163304,32,147.629719
-0.015743,32,147.802558
-0.109739,32,147.975912
-0.196529,32,148.148643
-0.129257,32,148.321386
-0.164353,32,148.494109
-0.064077,32,148.667383
-0.070684,32,148.84028
-0.037202,32,149.013406
-0.101674,32,149.186143
-0.132895,32,149.358638
-0.050603,32,149.531682
-0.134336,32,149.705779
-0.075895,32,149.878253
-0.124272,32,150.051796
-0.076246,32,151.522249
-0.08973,32,151.695034
-0.022808,32,151.867892
-0.307797,32,152.040711
-0.174341,32,152.213751
-0.235605,32,152.386248
-0.049261,32,152.554482
-0.07604,32,152.722026
-0.051478,32,152.889471
-0.022159,32,153.056914
-0.137344,32,153.224469
-0.107296,32,153.391545
-0.174541,32,153.558933
-0.237524,32,153.72637
-0.105694,32,153.89413
-0.085537,32,154.06197
-0.218325,32,154.229779
-0.176308,32,154.398322
-0.169456,32,154.566419
-0.058525,32,154.734102
-0.084285,32,154.901799
-0.265179,32,155.069279
-0.397135,32,155.236957
-0.155083,32,155.404251
-0.060771,32,155.571937
-0.190146,32,155.740683
-0.120685,32,155.909425
-0.043338,32,156.077646
-0.1952,32,156.2452
-0.180485,32,156.412862
-0.191476,32,156.580604
-0.070146,32,156.748245
-0.1425,32,156.916122
-0.014678,32,157.083955
-0.080395,32,157.252516
-0.299544,32,157.419741
-0.249363,32,157.587428
-0.058459,32,157.755211
-0.109298,32,157.922988
-0.138064,32,158.090915
-0.293667,32,158.258823
-0.148522,32,158.42628
-0.282597,32,158.594036
-0.1465,32,158.761998
-0.114035,32,158.929619
-0.087343,32,159.097594
-0.046517,32,159.265368
-0.075848,32,159.433121
-0.131924,32,159.60077
-0.149558,32,159.769543
-0.071878,32,159.937711
-0.117541,32,160.105164
-0.027897,32,160.272771
-0.035002,32,160.440203
-0.132983,32,160.607324
-0.031091,32,160.774862
-0.187049,32,160.942808
-0.212109,32,161.110348
-0.025069,32,161.277823
-0.06741,32,161.447128
-0.138469,32,161.61761
-0.095669,32,161.788308
-0.089714,32,161.959529
-0.160687,32,162.130119
-0.022585,32,163.687411
-0.023359,32,163.866918
-0.07493,32,164.047578
-0.137844,32,164.22652
-0.20185,32,164.404956
-0.109161,32,164.584061
-0.098721,32,164.763058
-0.0621,32,164.9422
-0.103289,32,165.121255
-0.304545,32,165.300204
-0.268313,32,165.478099
-0.222123,32,165.656393
-0.092801,32,165.834815
-0.335866,32,166.014214
-0.22031,32,166.193114
-0.063925,32,166.371787
