#{"t_start": 1615205539.1109385}
r,l,t,rew_unnormalized,forces
1.1883143,32.0,11171.257853269577,-6936.5107,911.50665
1.3253833,32.0,11183.684017419815,-4812.418,893.733
1.3209583,32.0,11196.181819200516,-4868.973,921.06885
1.308152,32.0,11208.679960727692,-5054.498,916.43756
1.2716088,32.0,11220.600013971329,-5605.435,914.1906
1.3464727,32.0,11232.334638118744,-4443.054,884.8317
1.2854109,32.0,11244.726108789444,-5369.5596,932.60077
1.3396951,32.0,11257.257470846176,-4524.785,906.5605
1.3104128,32.0,11269.890574455261,-4962.8623,886.7269
1.0701051,32.0,11282.503334999084,-8639.503,931.7475
1.1427503,32.0,11294.88917350769,-7515.0796,909.0225
1.3048369,32.0,11307.405790090561,-5018.206,892.19354
1.2104193,32.0,11319.918414354324,-6453.982,879.45233
1.3605599,32.0,11332.612092971802,-4143.2964,882.1225
1.2634494,32.0,11345.008344650269,-5618.1924,918.8038
1.310168,32.0,11357.448435544968,-4892.634,888.53784
1.2980384,32.0,11369.88585972786,-5066.425,888.113
1.3114222,32.0,11382.305002212524,-4851.197,894.3449
1.2855895,32.0,11394.784698009491,-5234.1846,907.12885
1.3057845,32.0,11407.35415816307,-4915.1177,884.1399
1.1494926,32.0,11419.974914550781,-7288.8027,923.4867
1.2686675,32.0,11432.42705821991,-5460.8154,882.4774
1.2849656,32.0,11444.813944339752,-5201.985,901.85425
1.3310838,32.0,11457.297022104263,-4488.9023,871.1555
1.3301024,32.0,11469.706604003906,-4492.22,880.91156
1.2550254,32.0,11482.003152608871,-5623.2544,878.7905
1.3021493,32.0,11494.087745428085,-4896.185,911.20825
1.3274747,32.0,11505.750339508057,-4500.189,863.1021
1.1517235,32.0,11518.090750217438,-7158.0996,878.6661
1.2532014,32.0,11530.863434314728,-5607.7075,920.96173
1.3456295,32.0,11543.400532484055,-4194.6943,875.1401
1.3096718,32.0,11555.932294130325,-4728.9014,879.9307
1.3155982,32.0,11568.715914487839,-4627.819,897.484
1.2761688,32.0,11581.103721141815,-5214.264,888.07
1.2945503,32.0,11593.59824180603,-4925.6533,885.7857
1.2430035,32.0,11606.167551994324,-5694.667,888.7001
1.3020225,32.0,11618.317686796188,-4791.9746,896.75885
1.2973598,32.0,11630.05568933487,-4851.492,895.416
1.3007759,32.0,11642.0123898983,-4788.875,888.8247
